InterventionType,InterventionName_lower,Freq
Behavioral,prospective study with two measurement points investigating the impact of viral mitigation protocols on mental health,3
Diagnostic Test,ecg,3
Biological,covi-msc,3
Diagnostic Test,saliva sample,3
Other,data record,3
Drug,hydroxychloroquine sulfate 200 mg,3
Other,3d telemedicine,3
Drug,ibrutinib,3
Drug,hzvsf-v13,3
Other,exhaled breath sampling,3
Radiation,low dose radiation therapy,3
Drug,quercetin,3
Diagnostic Test,echocardiography,3
Drug,n-acetylcysteine,3
Drug,low molecular weight heparin,3
Drug,distilled water,3
Other,clinical data,3
Other,clinical assessment,3
Other,exposure,3
Biological,av-covid-19,3
Drug,methylprednisolone sodium succinate,3
Biological,chadox1 ncov-19,3
Drug,sodium bicarbonate,3
Drug,methotrexate,3
Biological,vpm1002,3
Biological,moderna covid-19 vaccine,3
Drug,cyclosporine,3
Drug,snpp protoporphyrin plus sunlight exposure,3
Drug,acetylsalicylic acid,3
Other,self-administered questionnaire,3
Drug,apixaban 2.5 mg,3
Drug,pulmozyme,3
Biological,tocilizumab,3
Drug,sng001,3
Biological,mesenchymal stem cell,3
Biological,rad26-s,3
Drug,vitamin d,3
Drug,slv213,3
Other,self supportive care (ssc) alone,3
Drug,niclosamide oral tablet,3
Drug,bcg vaccine,3
Drug,n-acetyl cysteine,3
Biological,bamlanivimab,3
Biological,recombinant new coronavirus vaccine (cho cells) placebo group,3
Drug,ly3832479,3
Behavioral,control,3
Drug,canakinumab,3
Other,0.9% saline,3
Device,splenic ultrasound,3
Drug,cannabidiol,3
Drug,matching placebo,3
Drug,at-527,3
Drug,povidone-iodine nasal spray and gargle,3
Procedure,blood sample,3
Procedure,blood sampling,3
Drug,leronlimab (700mg),3
Drug,oxygen,3
Other,,3
Drug,suspension of heat killed (autoclaved) mycobacterium w,3
Drug,colchicine 0.5 mg,3
Diagnostic Test,serology,3
Drug,ensovibep,3
Drug,ribavirin,3
Other,acupressure,3
Other,non-interventional,3
Drug,clopidogrel,3
Biological,bcg-denmark,3
Drug,chloroquine phosphate,3
Drug,remdesivir placebo,3
Dietary Supplement,vitamin super b-complex,3
Other,best supportive care,3
Drug,standard care,3
Drug,therapeutic anticoagulation,3
Other,human biological samples,3
Drug,atorvastatin,3
Drug,placebo inhalation,3
Biological,ub-612,3
Drug,ace inhibitor,3
Drug,interleukin-7,3
Drug,placebo intravenous,3
Drug,fostamatinib,3
Drug,corticosteroid,3
Diagnostic Test,sars-cov-2,3
Drug,hydrocortisone,3
Procedure,therapeutic plasma exchange,3
Drug,peginterferon lambda-1a,3
Drug,brii-196 and brii-198,3
Dietary Supplement,probiotic,3
Diagnostic Test,sars-cov-2 serology,3
Drug,nitric oxide gas,3
Behavioral,usual care,3
Diagnostic Test,blood test,3
Drug,placebo oral capsule,3
Drug,eidd-2801,3
Biological,ag0302-covid19,3
Radiation,phase 2,3
Drug,fisetin,3
Biological,ty027,3
Biological,dzif-10c,3
Diagnostic Test,spirometry,3
Drug,abatacept,2
Drug,thalidomide,2
Diagnostic Test,elisa,2
Diagnostic Test,elispot,2
Drug,50 mg/ml virazole,2
Combination Product,standard of care (soc),2
Drug,m5049,2
Biological,bbv152,2
Dietary Supplement,maltodextrin,2
Device,aerosol box,2
Device,aeonose,2
Drug,100 mg/ml virazole,2
Drug,standard covid-19 care,2
Drug,isoquercetin,2
Diagnostic Test,ct scan,2
Drug,0.9%sodium chloride,2
Drug,ivermectin pill,2
Drug,ivig,2
Other,routine care for covid-19 patients,2
Other,recop unit patient,2
Other,rehabilitation,2
Other,risk factors,2
Dietary Supplement,zinc gluconate,2
Drug,levamisole and isoprinosine,2
Combination Product,mw33 injection placebo,2
Combination Product,mw33 injection,2
Dietary Supplement,sivomixx (200 billion),2
Other,retrospective data collection,2
Drug,l-ascorbic acid,2
Drug,leronlimab,2
Drug,leflunomide,2
Other,retrospective analysis,2
Other,resistance exercise,2
Drug,lanadelumab,2
Drug,tacrolimus,2
Diagnostic Test,ct-scan,2
Biological,ag0301-covid19,2
Other,saline solution,2
Other,data collection and clinical testing of subjects,2
Drug,stc3141,2
Other,pulmonary ultrasound,2
Other,quality of life,2
Biological,vla2001,2
Other,electronic questionnaire,2
Drug,0.9% saline,2
Diagnostic Test,covid-19 serology,2
Other,data extraction from medical files,2
Other,sars-cov2 infection,2
Other,diagnostic laboratory biomarker analysis,2
Biological,anti-sars-cov-2 human convalescent plasma,2
Drug,lopinavir/ ritonavir,2
Drug,lopinavir-ritonavir,2
Drug,ivermectin and doxycycline,2
Other,education,2
Other,sample collection,2
Diagnostic Test,covid-19 test,2
Other,saliva collection,2
Biological,allocetra-ots,2
Drug,td-0903,2
Biological,eculizumab,2
Drug,simvastatin,2
Diagnostic Test,exercise capacity,2
Other,icu treatment,2
Diagnostic Test,sars-cov2 testing,2
Other,non interventional study,2
Other,non,2
Drug,regn10933+regn10987,2
Biological,saliva sample collection,2
Biological,saliva collection,2
Diagnostic Test,nasal swab,2
Biological,hyperimmune immunoglobulin to sars-cov-2 (hivig),2
Drug,paracetamol,2
Other,no interventions,2
Drug,recommended treatment schedule,2
Biological,sab-185,2
Biological,ruti® vaccine,2
Other,immunological profiling,2
Diagnostic Test,muscle ultrasound,2
Other,hyperimmune plasma,2
Biological,intramuscular vaccine,2
Drug,"resp301, a nitric oxide generating solution",2
Drug,olokizumab 64 mg,2
Diagnostic Test,serology test for covid-19,2
Diagnostic Test,serological testing,2
Biological,grad-cov2,2
Drug,resveratrol,2
Diagnostic Test,serological test,2
Biological,high dosage inactivated sars-cov-2 vaccine,2
Biological,human amniotic fluid,2
Biological,high dosage inactivated sars-cov-2 vaccine on a 0- and 28-day schedule,2
Drug,reparixin,2
Biological,sars-cov-2 inactivated vaccine,2
Diagnostic Test,mri,2
Other,normal saline (0.9% sodium chloride solution)- stage 2,2
Radiation,phase 1,2
Diagnostic Test,sars-cov-2 pcr,2
Diagnostic Test,sars-cov-2 diagnostic rapid test,2
Biological,biological data,2
Other,kb109 + self supportive care (ssc),2
Diagnostic Test,rapid diagnostic test vs pcr,2
Biological,mrna-1273.351,2
Biological,msc,2
Biological,placebo on a 0- and 28-day schedule,2
Diagnostic Test,pcr test,2
Other,meditation (1 x 20-minute guided audio training),2
Biological,nanocovax,2
Drug,pul-042 inhalation solution,2
Biological,placebo (0.9% normal saline),2
Diagnostic Test,pulmonary function tests,2
Diagnostic Test,pulmonary function test,2
Biological,novaferon,2
Drug,poly-iclc (hiltonol®) or placebo,2
Drug,plasma,2
Biological,plx-pad,2
Drug,placebo comparator,2
Biological,remestemcel-l,2
Biological,recombinant new coronavirus vaccine (cho cell) low-dose group,2
Biological,remdesivir,2
Other,no intervention (retrospective cohort observational),2
Drug,pentoxifylline,2
Biological,lenzilumab,2
Other,indicators of central sensitisation,2
Biological,recombinant new coronavirus vaccine (cho cells) high-dose group,2
Biological,low dosage inactivated sars-cov-2 vaccine on a 0- and 28-day schedule,2
Drug,placebo capsules,2
Drug,ravulizumab,2
Biological,recombinant covid-19 vaccine (sf9 cells),2
Radiation,radiation therapy,2
Biological,medium dosage inactivated sars-cov-2 vaccine,2
Biological,medium dosage inactivated sars-cov-2 vaccine on a 0- and 28-day schedule,2
Drug,pyronaridine-artesunate,2
Drug,ofatumumab,2
Diagnostic Test,serum testing,2
Drug,rivaroxaban 10 mg,2
Drug,montelukast,2
Other,practice details,2
Biological,"two doses of low dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",2
Drug,sofosbuvir,2
Diagnostic Test,flow cytometric analysis,2
Drug,molnupiravir,2
Drug,soc + placebo,2
Dietary Supplement,300 mg of omega3-fa,2
Biological,brii-196/brii-198,2
Other,placebo control,2
Other,placebo comparator,2
Other,placebo capsules,2
Drug,sirolimus,2
Drug,single dose of hydroxychloroquine,2
Biological,convalescent anti-sars-cov-2 mbt plasma,2
Dietary Supplement,bovine lactoferrin,2
Biological,"two doses of medium dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",2
Drug,nors (nitric oxide releasing solution),2
Biological,blood samples,2
Other,exercise & nutrition,2
Drug,matched placebo,2
Dietary Supplement,glycine,2
Biological,blood collection on admission and longitudinally,2
Biological,blood collection on their first consultation and 10 to 14 days later,2
Other,exercise brochure,2
Biological,blood sampling,2
Drug,metformin glycinate,2
Biological,blood test,2
Drug,sofosbuvir/daclatasvir,2
Drug,meplazumab for injection,2
Other,exercise training,2
Other,pregnant women with laboratory-confirmed 2019-n-cov,2
Drug,metformin,2
Biological,convalescent covid 19 plasma,2
Other,file scanning,2
Biological,convalescent plasma (anti-sars-cov-2 plasma),2
Drug,ruconest,2
Biological,scta01,2
Biological,cvncov,2
Diagnostic Test,stress levels and mental well-being assessment,2
Other,oxygen therapy,2
Drug,ruxolitinib oral tablet,2
Drug,nitrogen gas,2
Drug,nivolumab,2
Other,physiotherapy,2
Drug,rtb101,2
Other,additional biological samples,2
Biological,sars-cov-2 virus,2
Biological,epivaccorona (epivaccorona vaccine based on peptide antigens for the prevention of covid-19),2
Other,health supplements,2
Other,online questionnaires,2
Drug,nintedanib,2
Other,patient-reported online questionnaire on olfactory & taste disturbances,2
Biological,serology,2
Biological,covid-19 therapeutic biologics - spike-gm-csf protein lactated ringer's injection,2
Drug,scta01,2
Other,phone call interview,2
Biological,sputnik light,2
Biological,covid convalescent plasma,2
Drug,sevoflurane,2
Biological,covi-drops,2
Biological,coronovac vaccine,2
Other,physical exercise,2
Drug,silmitasertib,2
Other,follow up,2
Drug,siltuximab,2
Drug,silymarin,2
Biological,convalescent plasma from covid-19 donors,2
Drug,iodine complex,2
Drug,ivermectin oral product,2
Drug,abidol hydrochloride,2
Diagnostic Test,biosensor,2
Drug,control treatment schedule,2
Device,"taking blood samples (capillary and venous), saliva sampling and nasopharyngeal sampling.",2
Other,tele-yoga therapy,2
Diagnostic Test,blood sampling,2
Drug,txa127,2
Drug,enoxaparin 40 mg/0.4 ml injectable solution,2
Other,ayurveda,2
Other,telerehabilitation-based,2
Drug,hydroxychloroquine and azithromycin,2
Drug,hydroxychloroquine 200 mg oral tablet,2
Drug,hydroxychloroquine - weekly dosing,2
Drug,hydroxychloroquine - daily dosing,2
Diagnostic Test,biological sample collection,2
Drug,hydroxychloroquine sulfate 200 mg [plaquenil],2
Other,cohort,2
Behavioral,neurocognitive assessment,2
Drug,clevudine,2
Other,this is an online survey with no intervention.,2
Drug,human immunoglobulin,2
Device,transcranial direct-current stimulation,2
Diagnostic Test,binaxnow rapid antigen system,2
Drug,avigan,2
Drug,hormones,2
Drug,honey,2
Drug,exo 1 inhalation,2
Drug,ciclesonide,2
Procedure,mout-to-mouth ventilation,2
Procedure,mout-to-mouth ventilation with quantitative analysis,2
Procedure,peripheral blood draw,2
Drug,ebselen,2
Drug,icosapent ethyl,2
Drug,tranexamic acid,2
Other,supportive care,2
Behavioral,prone position,2
Drug,dwj1248,2
Procedure,ophthalmologic exam,2
Other,surgery,2
Drug,hyperbaric oxygen,2
Other,surgical mask,2
Drug,antithrombin iii,2
Diagnostic Test,breath test,2
Drug,early-dexamethasone,2
Drug,ec-18,2
Other,concert,2
Drug,eculizumab,2
Other,2d telemedicine,2
Behavioral,covid-19 pandemic,2
Drug,edp1815,2
Drug,apremilast,2
Drug,hydroxychloroquine sulfate tablets,2
Drug,hydroxychloroquine sulfate regular dose,2
Drug,hydroxychloroquine sulfate loading dose,2
Behavioral,covid-19 self-test,2
Drug,arb,2
Drug,arbidol,2
Behavioral,covid-19 test referral,2
Drug,exo 2 inhalation,2
Drug,veru-111,2
Drug,vir-7831,2
Drug,fuzheng huayu tablet,2
Drug,carrimycin,2
Device,lucira covid-19 all-in-one test kit,2
Procedure,blood draw,2
Diagnostic Test,6-minute walk test,2
Drug,bi 767551 intravenous,2
Other,blood samples,2
Drug,bicalutamide 150 mg oral tablet,2
Drug,camostat mesylate,2
Procedure,awake prone positioning,2
Device,volatile organic compounds analysis,2
Drug,c21,2
Other,blood test,2
Drug,bucillamine,2
Other,clinical examination,2
Device,ion mobility spectrometry (ims),2
Other,web based survey,2
Device,hyperbaric oxygen therapy,2
Device,hyperbaric oxygen therapy (hbot),2
Drug,fluoxetine,2
Other,breathing exercise,2
Behavioral,information,2
Device,vv-ecmo + cytokine adsorption (cytosorb adsorber),2
Other,canine odor detection of volatile organic compounds,2
Other,yoga,2
Device,vv-ecmo only (no cytokine adsorption),2
Drug,brequinar,2
Drug,bevacizumab injection,2
Drug,xav-19,2
Behavioral,interview,2
Device,high flow nasal cannula (hfnc),2
Drug,heparin sodium,2
Other,"two doses of placebo at the schedule of day 0,28",2
Drug,chloroquine sulfate,2
Drug,chloroquine diphosphate,2
Drug,azithromycin tablets,2
Behavioral,exercise training,2
Behavioral,mindfulness based intervention,2
Behavioral,expressive writing,2
Device,fit test,2
Behavioral,mindfulness,2
Drug,hb-admscs,2
Drug,baricitinib oral tablet,2
Diagnostic Test,antibody test,2
Drug,gx-i7,2
Drug,cenicriviroc,2
Drug,gx-19n,2
Behavioral,fear of covid-19 scale,2
Drug,guduchi ghan vati,2
Device,"magpro x100 stimulator, b70 fluid-cooled coil",2
Drug,bemiparin,2
Other,vehicle control,2
Other,venous ultrasound,2
Other,blood draw,2
Drug,best available treatment,2
Device,hfnc,2
Drug,duvelisib,2
Drug,convalescent plasma transfusion,2
Other,standard therapy,2
Other,soc,2
Device,seraph 100,2
Behavioral,attention placebo,2
Drug,deferoxamine,2
Device,breath biopsy face masks with removable filters and fitted pva strip,2
Drug,ambrisentan,2
Drug,tocilizumab (tcz),2
Other,covid-19 patients,2
Drug,tofacitinib 10 mg,2
Other,aerobic exercise training,2
Drug,doxycycline tablets,2
Drug,daclatasvir,2
Drug,acebilustat,2
Drug,covid-19 vaccine,2
Device,oxygen therapy,2
Drug,thymalfasin,2
Drug,tocilizumab injection,2
Drug,crizanlizumab,2
Drug,dexamethasone injection,2
Drug,alteplase 50 mg [activase],2
Behavioral,standard care,2
Drug,dose of tinzaparin or dalteparin,2
Procedure,stellate ganglion block,2
Behavioral,simple cognitive task intervention,2
Drug,dornase alfa inhalation solution [pulmozyme],2
Diagnostic Test,conjunctival swab,2
Behavioral,questionnaires,2
Procedure,prone positioning (pp),2
Drug,adg20,2
Drug,allocetra-ots,2
Other,covid-19 infection,2
Behavioral,assessment of behavioral response to emotional stimulation,2
Behavioral,assessment of work-related stress,2
Other,acute kidney injury,2
Device,nowdx covid-19 test,2
Diagnostic Test,coronary angiography,2
Drug,tinzaparin,2
Drug,angiotensin converting enzyme inhibitor,2
Other,standard treatment for covid-19,2
Drug,imu-838,2
Other,standard care therapy,2
Drug,angiotensin 1-7,2
Drug,ino-4800,2
Drug,cyproheptadine hydrochloride 4 mg,2
Behavioral,services as usual,2
Other,covid-19+ observational,2
Drug,disulfiram,2
Drug,angiotensin-(1-7),2
Drug,defibrotide,2
Drug,cyt107,2
Drug,prednisolone 5 mg,1
Drug,prednisolone,1
Drug,zyesami™ (aviptadil acetate),1
Other,acp decisions video program,1
Drug,zyesami (aviptadil acetate),1
Drug,ritonavir+oseltamivir,1
Other,"35 ml blood, 5 tubes lithium heparinate at each time (hospitalized patients )",1
Drug,zyil1 capsule,1
Other,a short video intervention,1
Drug,preservative-free saline,1
Genetic,covid-19 androgen sensitivity test (covast),1
Drug,rhdnase i,1
Drug,rhtpo,1
Genetic,complete thrombophilic profile testing by multiplex pcr,1
Genetic,blood sample for whole genome sequencing,1
Other,a questionnaire and scales.,1
Drug,ribavirin capsules,1
Drug,γ-globulin,1
Drug,ringer solution,1
Genetic,1. characterize the immune response after infection with sars-cov-2,1
Drug,prednisone tablet,1
Other,active comparator: self-care group,1
Drug,rintatolimod,1
Drug,ritonavir,1
Other,a vignette intervention,1
Other,a survey of 60 questions was created through the internet-based 'google forms surveys' site.,1
Drug,rnapc2,1
Drug,ritonavir/lopinavir,1
Drug,povidone-iodine 0.6% ni,1
Drug,povidone-iodine 0.5% ni,1
Drug,povidone-iodine 0.5%,1
Drug,povidone-iodine 0.4% ni,1
Drug,zilucoplan®,1
Drug,povidine iodine nasal swabs,1
Drug,zilucoplan placebo,1
Drug,ruxolitinib 5 mg,1
Drug,poractant alfa,1
Drug,ruxolitinib administration,1
Drug,zilucoplan,1
Drug,polyoxidonium,1
Drug,ruxolitinib plus simvastatin,1
Other,activity list,1
Drug,zavegepant (bhv-3500),1
Drug,zanubrutinib,1
Drug,pln-74809,1
Drug,s-1226,1
Drug,povidone-iodine 0.5% ns,1
Drug,povidone-iodine 0.6% ns,1
Drug,prazosin,1
Drug,zinc (placebo),1
Drug,zotatifin,1
Other,active covid-19 disease,1
Drug,prasugrel hydrochloride 10 mg oral tablet,1
Other,activity,1
Drug,rivaroxaban 15mg tab,1
Drug,rivaroxaban 2.5 mg,1
Drug,prasugrel,1
Drug,povidone-iodine solution 1.25% w/w [0.125% available iodine] usp,1
Drug,retrospective case-control analysis,1
Drug,ro7496998,1
Drug,roactemra iv,1
Drug,zofintm,1
Drug,roactemra sc,1
Drug,zithromax oral product,1
Drug,rosuvastatin,1
Drug,zinc sulfate,1
Drug,povidone-iodine 2%,1
Drug,rhace2 apn01,1
Drug,progesterone 100 mg,1
Other,[timp-2]*[igfbp-7],1
Other,5 times sit to stand test,1
Other,25 post non-icu patients,1
Other,6 minute walk test,1
Drug,pyronaridine-artesunate (pa),1
Drug,recombinant human interferon α2b spray,1
Other,6 minutes walk test,1
Other,20% adoption rate,1
Drug,pyridostigmine bromide,1
Drug,recombinant human plasma gelsolin (rhu-pgsn),1
Drug,pulmozyme/ recombinant human deoxyribonuclease (rh-dnase),1
Other,2 post-mortem transcutaneous lung biopsies (1 anterior ; 1 posterior) using anatomical landmarks,1
Drug,saline,1
Drug,reference: favipiravir 200 mg (avigan),1
Other,6 point likert scale,1
Other,6-min-walk fpp2,1
Other,6-min-walk surgical mask,1
Other,1: usual practice,1
Other,1 minute sit to stand test,1
Drug,regadenoson,1
Other,0.07% cetylpyridinium chloride (cpc) in mouthwash,1
Drug,recombinant human interferon α1β,1
Drug,recombinant human interferon alpha-1b,1
Genetic,covid-19 diagnostic and assessment tests,1
Drug,recombinant human annexin a5,1
Other,"35 ml blood, 5 tubes lithium heparinate at each time (cured patients)",1
Other,38 questions questionnaire,1
Drug,razuprotafib subcutaneous solution,1
Drug,rayaldee 30mcg extended-release (er) capsule,1
Other,38-questions questionnaire,1
Drug,rbt-9 (90 mg),1
Drug,rapamycin,1
Drug,rdv,1
Other,40% adoption rate,1
Drug,random donor plasma,1
Drug,rdv placebo,1
Drug,recombinant bacterial ace2 receptors -like enzyme of b38-cap (rbace2),1
Other,40ml blood sample,1
Other,4c mortality score,1
Other,5 blood samples,1
Drug,ramipril 2.5 mg oral capsule,1
Drug,ramelteon 8mg,1
Drug,quetiapine,1
Drug,recombinant human angiotensin-converting enzyme 2 (rhace2),1
Other,"0, 28 day schedule",1
Other,"0, 112 day schedule",1
Drug,regn10933 + regn10987,1
Other,0% adoption rate,1
Genetic,multi-omics,1
Drug,prophylactic heparin,1
Other,60% adoption rate,1
Genetic,massive parallel sequencing of host genome,1
Genetic,genetic blood collection,1
Drug,progesterone 200 mg oral capsule,1
Drug,remdesivir-hu,1
Drug,remestemcel-l,1
Other,80% adoption rate,1
Drug,remimazolam,1
Drug,renin-angiotensin system inhibitors,1
Genetic,genetic,1
Drug,resp301,1
Other,[11c]sl25.1188 pet scan,1
Genetic,expression of receptors and activating proteases,1
Drug,previfenon®,1
Genetic,epigenetic analyses,1
Other,[18f]feppa pet scan,1
Genetic,determination of cyp2c19 genotype,1
Genetic,next generation sequencing (ngs) analysis,1
Genetic,polymorphism of the hsd3b1,1
Drug,prophylactic lactoferrin daily,1
Drug,propofol,1
Other,- synthetic anti-malarial drugs,1
Drug,ptc299,1
Other,(standard of care) soc,1
Drug,proxalutamide (gt0918),1
Other,"""calm"" is a mindfulness meditation mobile app",1
Genetic,whole genome analysis,1
Drug,prothione™ (6g),1
Drug,propranolol hydrochloride,1
Genetic,whole exome sequencing,1
Drug,remdesivir (rdv),1
Genetic,tdr,1
Genetic,t-cell receptor (tcr) repertoire,1
Drug,rejuveinix (rjx) active comparator,1
Genetic,single-nucleotide polymorphisms (snp) within the tcra/d region,1
Genetic,sequencing,1
Genetic,sars-cov-2 viral composition,1
Drug,prophylactic/intermediate dose enoxaparin,1
Other,6-min-walk without mask,1
Drug,sacubitril / valsartan oral tablet [entresto],1
Drug,wharton's jelly derived mesenchymal stem cells.,1
Drug,yu-ping-feng formula,1
Drug,statins (cardiovascular agents),1
Drug,tpa,1
Drug,toremifene,1
Drug,stem cell product,1
Drug,topical steroids and cyclosporin-a,1
Drug,sterile normal saline (0.9%),1
Drug,sterile normal saline for intravenous use,1
Drug,sterile water for injection,1
Drug,sti-5656,1
Drug,sublingual methylene blue,1
Drug,sublingual micro-dose ketamine,1
Drug,tom's botanically bright peppermint,1
Drug,sulfonatoporphyrin(tpps) plus sunlight exposure.,1
Drug,sulfur hexafluoride lipid-type a microspheres,1
Drug,sulodexide,1
Drug,support treatment,1
Drug,tocilizumab prefilled syringe,1
Drug,tocilizumab injection [actemra],1
Drug,supportive and symptomatic treatment,1
Drug,supportive care,1
Drug,tocilizumab and ruxolitinib (advanced stage 3),1
Drug,surfactant,1
Drug,tocilizumab 200 mg/10 ml (20 mg/ml) intraven vial (ml),1
Drug,tocilizumab 20 mg/ml intravenous solution [actemra]_#1 (2 doses),1
Drug,tocilizumab 20 mg/ml intravenous solution [actemra]_#1,1
Drug,symptomatic drugs,1
Drug,tradipitant,1
Drug,standards of care,1
Drug,synthetic neutralising antibodies,1
Drug,traditional antirheumatic drugs,1
Drug,standard of care therapy,1
Drug,standard of care thromboprophylaxis,1
Drug,standard of care treatment,1
Drug,"treatment group: will receive a combination of nitazoxanide, ribavirin and ivermectin for a duration of seven days :",1
Drug,treatment as usual vitamin d,1
Drug,treatment and prophylaxis,1
Drug,standard of care_1,1
Drug,treamid,1
Drug,standard of care_2,1
Drug,standard prophylactic dose enoxaparin/ unfractionated heparin,1
Drug,standard therapeutic protocol,1
Drug,transfusion of standard plasma.,1
Drug,transfusion of sars-cov-2 convalescent plasma.,1
Drug,transfusion of covid-19 convalescent plasma,1
Drug,standard therapy for covid-19 according to the stablished hospital protocols.,1
Drug,standard therapy protocol (stp),1
Drug,transdermal estradiol gel,1
Drug,trans sodium crocetinate,1
Drug,tranexamic acid tablets,1
Drug,tramadol,1
Drug,standard treatment of covid-19,1
Drug,standard-of-care sars-cov-2 treatment,1
Drug,traditional chinese medicine prescription,1
Drug,standard-of-care treatment,1
Drug,standardized brazilian green propolis extract,1
Drug,symptomatic treatment (paracetamol or best symptomatic treatment based on doctor recommendations),1
Drug,tocilizumab 20 mg/ml intravenous solution [actemra],1
Drug,saline oral/nasal rinse,1
Drug,tinzaparin or unfractionated heparin,1
Drug,tice® bcg (for intravesical use) bcg live strain of the bcg (merck) vaccine,1
