InterventionName_lower,Freq
methylprednisolone sodium succinate,3
sodium bicarbonate,3
ub-612,3
yoga,3
non-interventional,3
hydroxychloroquine and azithromycin,3
ty027,3
cannabidiol,3
nitric oxide gas,3
experimental group,3
hyperimmune plasma,3
supportive care,3
sars-cov-2 vaccine,3
sars-cov-2 serology,3
exhaled breath sampling,3
telmisartan,3
plasma,3
recombinant new coronavirus vaccine (cho cells) placebo group,3
ibrutinib,3
colchicine 0.5 mg,3
hzvsf-v13,3
avigan 200 mg film tablets,3
placebo intravenous,3
brii-196 and brii-198,3
sng001,3
ribavirin,3
coviage,3
resveratrol,3
exercise capacity,3
snpp protoporphyrin plus sunlight exposure,3
hyperbaric oxygen therapy,3
vitamin super b-complex,3
convalescent plasma transfusion,3
nasal swab,3
quercetin,3
prospective study with two measurement points investigating the impact of viral mitigation protocols on mental health,3
blood donation sms,3
placebo inhalation,3
mindfulness based intervention,3
placebo oral capsule,3
canakinumab,3
low dose radiation therapy,3
lanadelumab,3
clopidogrel,3
3d telemedicine,3
atorvastatin,3
pulmozyme,3
remdesivir placebo,3
ace inhibitor,3
peginterferon lambda-1a,3
mri,3
placebo (normal saline solution),3
blood collection,3
therapeutic anticoagulation,3
clinical examination,3
splenic ultrasound,3
clinical data,3
clinical assessment,3
mesenchymal stem cell,3
povidone-iodine nasal spray and gargle,3
chloroquine phosphate,3
acetylsalicylic acid,3
peripheral blood draw,3
niclosamide oral tablet,3
comparator,3
mesenchymal stem cells,3
bnt162b1,3
rehabilitation,3
acupressure,3
moderna covid-19 vaccine,3
vpm1002,3
rad26-s,3
distilled water,3
ly3832479,3
interleukin-7,3
remestemcel-l,3
lenzilumab,3
sars-cov-2,3
n-acetyl cysteine,3
bcg-denmark,3
low molecular weight heparin,3
corticosteroid,3
ag0302-covid19,3
suspension of heat killed (autoclaved) mycobacterium w,3
exposure,3
probiotic,3
fisetin,3
methotrexate,3
ct-scan,3
hydrocortisone,3
chadox1 ncov-19,3
ravulizumab,3
self-administered questionnaire,3
aerosolized 13 cis retinoic acid,3
at-527,3
biological sample collection,3
phase 2,3
self supportive care (ssc) alone,3
pcr,3
leronlimab (700mg),3
indicators of central sensitisation,2
sars-cov2 infection,2
biological samples,2
biosensor,2
sars-cov-2 virus,2
blood collection on admission and longitudinally,2
elispot,2
blood collection on their first consultation and 10 to 14 days later,2
rapid diagnostic test vs pcr,2
sars-cov2 testing,2
covid-19 exposure,2
tele-yoga therapy,2
olokizumab 64 mg,2
information,2
plx-pad,2
covid-19 test referral,2
biological data,2
sars-cov-2 inactivated vaccine,2
bbv152,2
nors (nitric oxide releasing solution),2
medium dosage inactivated sars-cov-2 vaccine on a 0- and 28-day schedule,2
basic treatment,2
sars-cov-2 diagnostic rapid test,2
medium dosage inactivated sars-cov-2 vaccine,2
baricitinib oral tablet,2
therapeutic plasma exchange (tpe),2
covid19,2
normal saline 0.9%,2
whole exome sequencing,2
normal saline (0.9% sodium chloride solution)- stage 2,2
2d telemedicine,2
covid19 vaccine,2
this is an online survey with no intervention.,2
file scanning,2
bacille calmette-guérin (bcg),2
practice details,2
azithromycin tablets,2
prayer,2
intramuscular vaccine,2
throat swab,2
meditation (1 x 20-minute guided audio training),2
thymalfasin,2
fear of covid-19 scale,2
awake proning,2
awake prone positioning,2
covid-19+ observational,2
sars-cov-2 mrna vaccine,2
covid-19 infection,2
fit test,2
telerehabilitation-based,2
xav-19,2
covid-19 patients,2
follow up,2
binaxnow rapid antigen system,2
poly-iclc (hiltonol®) or placebo,2
bicalutamide 150 mg oral tablet,2
bi 767551 intravenous,2
ec-18,2
bevacizumab injection,2
ebselen,2
fluoxetine,2
covid-19 self-test,2
best standard of care,2
best available treatment,2
covid-19 standard of care,2
covid-19 survey,2
bemiparin,2
flow cytometric analysis,2
covid-19 test,2
fuzheng huayu tablet,2
sars-cov-2 pcr,2
thalidomide,2
covid-19 therapeutic biologics - spike-gm-csf protein lactated ringer's injection,2
nowdx covid-19 test,2
vla2001,2
novaferon,2
td-0903,2
recombinant new coronavirus vaccine (cho cell) low-dose group,2
elisa,2
human amniotic fluid,2
sputnik light,2
hb-admscs,2
honey,2
hormones,2
pentoxifylline,2
gx-i7,2
gx-19n,2
standard care therapy,2
sevoflurane,2
standard covid-19 care,2
concert,2
services as usual,2
guduchi ghan vati,2
pcr test,2
chloroquine sulfate,2
conjunctival swab,2
human immunoglobulin,2
serum testing,2
hydrogen peroxide,2
cenicriviroc,2
patient-reported online questionnaire on olfactory & taste disturbances,2
metformin glycinate,2
zinc gluconate,2
serology test for covid-19,2
serology test,2
hydroxychloroquine - daily dosing,2
hydroxychloroquine - weekly dosing,2
hydroxychloroquine 200 mg oral tablet,2
chloroquine diphosphate,2
home exercise program,2
imu-838,2
physiotherapy,2
physical examination,2
hfnc,2
cohort,2
high dosage inactivated sars-cov-2 vaccine,2
high dosage inactivated sars-cov-2 vaccine on a 0- and 28-day schedule,2
soc + placebo,2
heparin sodium,2
high flow nasal cannula (hfnc),2
collection of biological samples,2
sivomixx (200 billion),2
high intensity interval training,2
phone call interview,2
sofosbuvir,2
phase 1,2
silmitasertib,2
sirolimus,2
sofosbuvir/daclatasvir,2
clevudine,2
comirnaty,2
single dose of hydroxychloroquine,2
simvastatin,2
simple cognitive task intervention,2
health supplements,2
radiation therapy,2
placebo (0.9% normal saline),2
ciclesonide,2
silymarin,2
siltuximab,2
metformin,2
carrimycin,2
mindfulness,2
breath test,2
icosapent ethyl,2
conventional treatment,2
non interventional study,2
icu treatment,2
placebo on a 0- and 28-day schedule,2
brii-196/brii-198,2
semi-directive interview,2
0.9%sodium chloride,2
coronary angiography,2
education,2
brequinar,2
edp1815,2
breathing exercise,2
coronovac vaccine,2
placebo control,2
breath biopsy face masks with removable filters and fitted pva strip,2
bovine lactoferrin,2
placebo vaccine,2
ophthalmologic exam,2
covi-drops,2
electronic questionnaire,2
online questionnaires,2
tacrolimus,2
immunological profiling,2
100 mg/ml virazole,2
meplazumab for injection,2
"taking blood samples (capillary and venous), saliva sampling and nasopharyngeal sampling.",2
covid convalescent plasma,2
conventional oxygen therapy,2
bronchoalveolar lavage,2
bucillamine,2
seraph 100,2
serological testing,2
standard treatment for covid-19,2
cardiopulmonary exercise test,2
control treatment schedule,2
cardiac surgery,2
hydroxychloroquine sulfate 200 mg [plaquenil],2
convalescent anti-sars-cov-2 mbt plasma,2
cardiac magnetic resonance,2
stc3141,2
cardiac and electrodermal recordings,2
grad-cov2,2
stellate ganglion block,2
paracetamol,2
hydroxychloroquine sulfate loading dose,2
hydroxychloroquine sulfate regular dose,2
hydroxychloroquine sulfate tablets,2
convalescent covid 19 plasma,2
convalescent plasma (anti-sars-cov-2 plasma),2
canine odor detection of volatile organic compounds,2
placebo group,2
convalescent plasma from covid-19 donors,2
camostat mesylate,2
glycine,2
hyperbaric oxygen therapy (hbot),2
stress levels and mental well-being assessment,2
hyperimmune immunoglobulin to sars-cov-2 (hivig),2
c21,2
300 mg of omega3-fa,2
early-dexamethasone,2
physical exercise,2
ivig,2
aeonose,2
aerobic exercise training,2
nicotinamide riboside,2
nicotinamide,2
muscle ultrasound,2
arbidol,2
arb,2
web based survey,2
aerosol box,2
veru-111,2
trv027,2
apremilast,2
pulmonary function tests,2
venous ultrasound,2
lactoferrin,2
expressive writing,2
routine care for covid-19 patients,2
appendectomy,2
prone positioning (pp),2
pulmonary function test,2
pul-042 inhalation solution,2
vehicle control,2
reparixin,2
pulmonary ultrasound,2
epivaccorona (epivaccorona vaccine based on peptide antigens for the prevention of covid-19),2
daclatasvir,2
kb109 + self supportive care (ssc),2
duvelisib,2
transcranial direct-current stimulation,2
lung ultrasound (lus),2
4c mortality score,2
vv-ecmo + cytokine adsorption (cytosorb adsorber),2
pyronaridine-artesunate,2
sab-185,2
cyproheptadine hydrochloride 4 mg,2
cyt107,2
vv-ecmo only (no cytokine adsorption),2
additional biological samples,2
l-citrulline,2
ruxolitinib oral tablet,2
ketogenic diet,2
adg20,2
ruti® vaccine,2
ruconest,2
lucira covid-19 all-in-one test kit,2
pulse oximeter,2
rtb101,2
nintedanib,2
l-ascorbic acid,2
ag0301-covid19,2
50 mg/ml virazole,2
mw33 injection,2
angiotensin converting enzyme inhibitor,2
nanocovax,2
dexamethasone injection,2
alteplase 50 mg [activase],2
uvc irradiation,2
exo 2 inhalation,2
angiotensin-(1-7),2
deferoxamine,2
lopinavir/ ritonavir,2
defibrotide,2
exo 1 inhalation,2
lopinavir-ritonavir,2
99mtc-pertechnetate aerosol,2
angiotensin 1-7,2
ambrisentan,2
nasopharyngeal swabs,2
retrospective data collection,2
nasal spray,2
recombinant covid-19 vaccine (sf9 cells),2
retrospective analysis,2
exercise group,2
exercise brochure,2
6-minute walk test,2
risk factors,2
tinzaparin,2
mw33 injection placebo,2
low dosage inactivated sars-cov-2 vaccine on a 0- and 28-day schedule,2
neuromuscular electrical stimulation,2
antithrombin iii,2
"two doses of low dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",2
"two doses of medium dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",2
resistance exercise,2
diagnostic test,2
leflunomide,2
diagnostic laboratory biomarker analysis,2
neurocognitive assessment,2
leronlimab,2
data collection and clinical testing of subjects,2
data extraction from medical files,2
antibody test,2
"resp301, a nitric oxide generating solution",2
"two doses of placebo at the schedule of day 0,28",2
txa127,2
rivaroxaban 10 mg,2
levamisole and isoprinosine,2
6 minute walk test,2
nacl,2
anti-sars-cov-2 human convalescent plasma,2
molnupiravir,2
nitrogen gas,2
exercise & nutrition,2
tranexamic acid,2
ion mobility spectrometry (ims),2
double-trunk mask,2
saline solution,2
saline placebo,2
probiotics,2
favipiravir placebo,2
crizanlizumab,2
matched placebo,2
isoquercetin,2
volatile organic compounds analysis,2
mout-to-mouth ventilation with quantitative analysis,2
iodine complex,2
disulfiram,2
mout-to-mouth ventilation,2
dwj1248,2
sample collection,2
doxycycline tablets,2
acebilustat,2
abidol hydrochloride,2
tofacitinib 10 mg,2
ct-p59,2
dose of tinzaparin or dalteparin,2
tocilizumab (tcz),2
saliva samples,2
maltodextrin,2
attention placebo,2
no interventions,2
saliva sample collection,2
recop unit patient,2
dornase alfa inhalation solution [pulmozyme],2
ct scan,2
quality of life,2
montelukast,2
"magpro x100 stimulator, b70 fluid-cooled coil",2
tocilizumab injection,2
recommended treatment schedule,2
ivermectin and doxycycline,2
no intervention (retrospective cohort observational),2
m5049,2
avigan,2
mrna-1273.351,2
ivermectin oral product,2
pregnant women with laboratory-confirmed 2019-n-cov,2
msc,2
ivermectin pill,2
endotracheal intubation,2
non,2
avdoralimab,2
non applicable,2
acute kidney injury,2
assessment of behavioral response to emotional stimulation,2
vv-ecmo,2
nivolumab,2
recombinant new coronavirus vaccine (cho cells) high-dose group,2
regn10933+regn10987,2
enoxaparin 40 mg/0.4 ml injectable solution,2
cvncov,2
assessment of work-related stress,2
autopsy,2
psychological assessment,1
psychological and physical rehabilitation based humanistic care,1
pt pal,1
pt-pal,1
questionnaires covid-,1
quinquina-stevia/azythromycin,1
questionnaires and neuropsychological assessment,1
questionnaires family,1
placebo control + best supportive care,1
placebo hydroxychloroquine,1
placebo control (non-behavioral infographic),1
physiological irrigating solution,1
physical exercises,1
quasistatic pressure-volume curve,1
placebo ec-18,1
psychological and behaviour change support,1
quality of life assessment,1
physiological saline solution,1
questionnaires covid+,1
pt-pcr test for sars-cov-2,1
quality of life promotion,1
physiological serum,1
questionnaires for specific phobia,1
quality of life questionnaires,1
quality of live assessment,1
placebo comparator: dw-ns,1
placebo for hydroxychloroquine,1
pt-x and imt,1
placebo daclatasvir 60 mg,1
placebo empty capsule,1
psychological stress and adaptation at work score (psas),1
physical exercise training,1
placebo for camostat mesilate,1
placebo for inhalation,1
psychological support,1
quantitative analysis for professionals,1
psychological treatment,1
quantitative analysis for patients,1
psychoeducational intervention,1
physical therapy,1
placebo gel,1
psychological triaging intervention,1
placebo granules,1
psychometric scale administration,1
psychoeducation,1
placebo for azithromycin,1
physiological effects of awake prone position in covid 19 patients,1
placebo for abbv-47d11,1
quantiferon,1
placebo for abbv-2b04,1
physical therapy exercise,1
physical therapy that include a standardized cycling training with functional electrical stimulation,1
psycho-social questionnaire,1
quantra system,1
psycho-education video,1
physical therapy that include a standardized cycling training with no additional functional electrical stimulation,1
quantitative antibody tests,1
psycho-education,1
"placebo for ""deficiency of qi and yang""",1
psychological and sociological interviews,1
"placebo for ""deficiency of qi and yin""",1
questionnaires on psychological quality of life,1
ptc299,1
ptsd,1
purapo,1
placebo (methylcellulose) capsule,1
pulse oximetry,1
placebo (oral tablet),1
qazcovid-in® - covid-19 inactivated vaccine,1
piperacillin/tazobactam,1
placebo (pbo),1
placebo (plasma-lyte 148),1
pulmozyme/ recombinant human deoxyribonuclease (rh-dnase),1
placebo (potato starch and magnesium stearate),1
piperacillin-tazobactam,1
placebo (saline),1
qazcovid-in®-vaccine against covid-19,1
placebo (sc injections),1
quercetin phytosome,1
quetiapine,1
pulmonary vascular permeability index,1
pioglitazone 45 mg,1
"placebo (sodium chloride bufus, solvent for the preparation of dosage forms for injection 0.9%)",1
placebo (iv),1
purclo,1
purinf,1
pwv,1
placebo (1 tablet daily during 60 days) + personal protective equipment (ppe),1
placebo (carrier control),1
pyronaridine-artesunate (pa),1
placebo (crossover vaccination period),1
q-nrg metobolic cart device,1
placebo (hartmann plus albumine),1
pyridostigmine bromide,1
placebo (human albumin 1%),1
quantitative analysis of anti-sars-cov-2-antibodies,1
placebo (initial vaccination period),1
purwet,1
quetionnary,1
placebo (im),1
q16 testing,1
placebo (inhaled solution),1
pk test,1
pitavastatin,1
purphl,1
pioglitazone 30 mg,1
pulmonary telerehabilitation,1
qrt-pcr and serology,1
public space exposure,1
placebo 0.10 mg + 1.00 mg/kg,1
placebo 0.20 mg + 2.00 mg/kg,1
placebo 0.9% nacl solution,1
placebo 1,1
pulmonary anomalies 4 months after documented covid-19 pneumonia,1
placebo 2,1
pulmonary and motor rehabilitation,1
placebo 250 cc 24 hours continuous infusion for 15 days,1
quidel sofia sars antigen fia,1
qualitative interviews (in 40 patients : 20 with covid-19 and 20 without covid-19),1
physiology,1
placebo atazanavir,1
placebo booster,1
public health england gold standard,1
ptx-covid19-b,1
ptsd check list (pcl) scale,1
physiological testing,1
placebo comparator: dw-ni,1
placebo - starch powder soft gels,1
piclidenoson,1
"placebo (sodium chloride, a 0.9% solution for the preparation of dosage forms for injections)",1
"questionnaires, spirometry",1
pioglitazone,1
"placebo (two doses), priming",1
placebo + soc,1
pulmonary tele-rehabilitation,1
placebo + vitamin d,1
quadramune(tm),1
questionnary,1
quantitative and qualitative assessments of mental health,1
quadrivalent influenza vaccine (qiv),1
qualitative and quantitative virus pcr of respiratory secretions in patients with high aerosol concentrations,1
pilot a rapid sars-cov-2 testing strategy,1
questionnaires patient,1
pilates exercises,1
pulmonary physiotherapy techniques,1
pulmonary function tests (pft),1
placebo - phase i,1
qualitative analysis for professionals,1
pulmonary function testing,1
quantitative analysis of sars-cov-2 antibodies,1
pregnant women under investigation for coronavirus or diagnosed with covid-19,1
psychiatric counseling,1
positive for sars-cov-2 infection,1
polymorphism of the hsd3b1,1
polyoxidonium,1
pool lamp,1
pool rt-pcr,1
progressive cycling exercise test to exhaustion,1
poractant alfa,1
prognostic score,1
positive covid test result - hypothetical scenario,1
progesterone 200 mg oral capsule,1
questionnaire for evaluation of confinement on deviant sexual fantasies,1
positive feedback,1
positive psychology (pp) exercises,1
placebo inhaled,1
progesterone 100 mg,1
positive psychotherapy,1
post covid-19 functional satus scale,1
produce prescription program,1
post traumatic stress disorder questionnaire (ptsd-8),1
questionnair about emerging legal and ehical disputes over patient confidentiality,1
procedure : multimodal microvascular assessment at study inclusion,1
"post traumatic, anxiety and depression evaluation",1
problem-solving and relationship improvement intervention.,1
post-intensive care unit syndrome,1
postpartum women under investigation for coronavirus or diagnosed with covid-19,1
polymerase chain reaction (pcr) test,1
questionnaire forms,1
progressive muscle relaxation,1
point-of-care ultrasonography (pocus),1
plitidepsin 1.5 mg/day,1
plitidepsin 2.0 mg/day,1
plitidepsin 2.5 mg/day,1
pln-74809,1
pneumococcal vaccine,1
promotores de salud,1
prolonged proned positioning,1
prolonged exposure therapy,1
pneumoniacheck,1
poc covidx™ rapid antigen test,1
poc sars-cov-2 igg antibody test,1
poct,1
point of care testing device for c-reactive protein,1
questionaire,1
"questionnaire including validated tools such as patient health questionnaire (phq-9), the 7-item generalised anxiety disorder (gad- 7), the 7-item insomnia severity index",1
questionaire to husband and wife,1
prolectin-m; a (1-6)-alpha-d-mannopyranose class,1
prolastin,1
"point of care ultrasound including echocardiography, lung ultrasound, vascular ultrasound",1
point-of-care rapid anti-sars-cov-2 antibody test (orient gene biotech) and dry blood spot collection (euroimmun),1
project echo,1
progressive muscle relaxation training,1
point-of-care test for sars-cov-2,1
questionnaire filling,1
questionnaire completion,1
problem solving therapy (pst).,1
press needles,1
power breathe,1
preservision areds formulation soft gels or tablets,1
prasugrel,1
questionnaire and optional interview,1
preservative-free saline,1
prasugrel hydrochloride 10 mg oral tablet,1
prazosin,1
pre-operative screening,1
pre_dinner yoga-based breathing support,1
pre_lunch yoga-based breathing support,1
questionnaire and interview,1
"predict admission of covid-19 patients to icu and death with routine and quickly avalaible clinical, biological and radiological variables?",1
prediction market,1
"questionnaire administration,blood sampling and genetic analyses.",1
physical exercise and computerized cognitive training,1
predictive factors for clinical response in patients with covid-19.,1
predictors adverse evolution,1
presence of specific anti-sars-cov-2 antibodies,1
premier biotech covid-19 igg/igm rapid test cassette,1
predictors of health care provide,1
prednisolone,1
prednisolone 5 mg,1
prednisone tablet,1
povidone-iodine solution 1.25% w/w [0.125% available iodine] usp,1
prevalence of covid-19,1
postural positioning,1
preventive information,1
questionnaire collection,1
problem management plus,1
povidine iodine nasal swabs,1
probiotics (2 strains 10x10^9 ufc),1
probiorinse,1
pro-sero-cov,1
"pro bnp , vitamin d",1
primepro™/ primemsk™,1
primepro,1
povidone-iodine 0.4% ni,1
povidone-iodine 0.5%,1
primary exposure status of pfizer-biontech covid-19 vaccine,1
povidone-iodine 0.5% ni,1
questionnaire by phone call,1
primary exposure is hypoxia (no intervention),1
povidone-iodine 0.5% ns,1
questionnaire : preparedness for caregiving scale,1
"primary care professionals reports of potential patient safety incidents, non-covid-19 related",1
povidone-iodine 0.6% ni,1
povidone-iodine 0.6% ns,1
povidone-iodine 2%,1
primary care,1
previfenon®,1
plitidepsin,1
plethysmography & dlco,1
questionnaire survey,1
prospective study across two time-points examining the impact of viral mitigation protocols on mental health,1
placebo oral solution,1
prospective observation,1
prospective oberservational registry,1
placebo patch,1
prospective cohort in high body mass index patient with covid 19,1
placebo plain water mouth rinse arm,1
placebo plus standard preventive measures,1
placebo pmdi,1
prospective chart review,1
quercetin phytosome (qp),1
placebo ribavirin,1
placebo rinse,1
placebo saline,1
placebo single,1
placebo sofusbuvir + daclatasvir 60 mg,1
placebo solution,1
placebo spray,1
placebo starch,1
placebo subcutaneous solution,1
placebo tablet,1
prosocial-benefit,1
placebo therapy,1
placebo to match rdv,1
placebo oral capsule; from august 2020 'no additional treatment',1
prospective study with two measurement points investigating the impact of viral mitigation protocols on parental burnout,1
placebo with remdesivir,1
placebo oral,1
pss (perceived stress scale),1
psqi,1
placebo injection and placebo pill,1
psg,1
placebo magnesium,1
placebo mini drinks,1
placebo multiple,1
psc-04,1
placebo nebuliser solution,1
placebo nitazoxanide,1
proxalutamide (gt0918),1
placebo of excipient(s) will be administered,1
placebo of fx06,1
placebo of hydroxychloroquine,1
placebo of lpv/r tablets,1
placebo of nicotine transdermal patch,1
placebo oil,1
placebo on a 0- and 14-day schedule,1
protrans®,1
prototype swab,1
protocolised mechanical ventilation strategy,1
prothione™ (6g),1
protective ventilation,1
placebo videos,1
placebo without radiofrequency.,1
prone,1
placenta-derived mmscs; cryopreserved placenta-derived multipotent mesenchymal stromal cells,1
plaquenil 200mg tablet,1
plasebo acupressure,1
plasma donation,1
plasma exchange,1
plasma exchange and convalescent plasma,1
prone position ventilation,1
prone position group,1
questionnaire with precaution information,1
plasma expansion with ringer's acetate,1
plasma from a volunteer donor,1
prone position (pp),1
plasma from convalescent patients with covid-19,1
querying the insee database,1
plasma from covid-19 convalescent patient,1
plasma hyperimmune,1
plasma igg levels,1
plasma sampling,1
plasma therapy using convalescent plasma with antibody against sars-cov-2,1
prone lying position,1
"platelet count, platelet, mean platelet volume and platelet distribution width in covid-19",1
quesionnair,1
prone decubitus,1
pleth variability index,1
plant stanol mini drinks,1
quercetin treatment,1
placebo- 0.10 mg/kg,1
"questionnaire, phone call",1
placebo- 0.20 mg/kg,1
placebo- 1.00 mg/kg,1
quercetin prophylaxis,1
placebo- 2.00 mg/kg,1
prosocial acts,1
proprietary extract of nerium oleander,1
propranolol hydrochloride,1
placebo-lde phase 2,1
propolis,1
placebo-simulation of transcranial direct current stimulation,1
propofol,1
placebo/aluminum adjuvant of inactivated sars-cov-2 vaccine,1
prophylaxis,1
questionnaire-based observational study,1
prophylactic/intermediate dose enoxaparin,1
prophylactic lactoferrin daily,1
placebo/control,1
placebo: emtricitabine/tenofovir disoproxil placebo,1
placebo: hydroxychloroquine,1
prophylactic heparin,1
proper diet,1
placebo; 0.9% saline,1
"questionnaire, same tools as before, with inclusion of pcl5 questionnaire too.",1
placebo pbmt/smf,1
pacritinib,1
physical and cognitive activity,1
nebulized saline,1
netosis markers,1
nestacell®,1
neonatal resuscitation without ppe for the prevention of sars-cov-2 infection,1
neonatal resuscitation with ppe for the prevention of sars-cov-2 infection,1
negative covid test result - hypothetical scenario,1
negative control,1
nebulized sterile saline,1
nebulized platelet lysate,1
neuro +,1
nebulized furosemide,1
nebulized administration of zyesami™ or placebo,1
nebulised unfractionated heparin (ufh),1
nebulised recombinant tissue-plasminogen activator (rt-pa) - cohort 2 niv,1
nebulised recombinant tissue-plasminogen activator (rt-pa) - cohort 2 imv,1
nebulised recombinant tissue-plasminogen activator (rt-pa) - cohort 1,1
nebulised heparin,1
neural network diagnosis algorithm,1
neuro -,1
niagen,1
new qiastat-dx fully automatic multiple pcr detection platform,1
ngm621,1
ng test,1
next generation sequencing (ngs) analysis,1
newsfeed function,1
news score,1
newborns from covid 19 positive mothers,1
new screening strategy,1
new ppe,1
neuroimaging findings in patients with covid-19,1
neutralizing antibodies,1
neutralization assay,1
neutral writing control,1
neuropsychological assessment,1
neuromuscular evaluation,1
neuromuscular blocking agents,1
neurology test,1
ndv-hxp-s vaccine,1
"ncapp, a cell phone-based auto-diagnosis system",1
nbt-nm108,1
nasafytol®,1
naser al-husban,1
nasal spray containing anti-sars-cov-2 antibodies derived from bovine colostrum,1
nasal pharyngeal (np) swab samples,1
nasal lavage,1
nasal irrigation,1
nasal dexamethasone,1
nasal brushing,1
narsoplimab,1
nbp2001 adjuvanted with alum (rbd 50μg/dose),1
narrow band ultraviolet b-band light,1
narrative writing,1
nanomix elab® covid-19 rapid antigen panel (non-interventional),1
nangibotide,1
naltrexone hydrochloride,1
nafamostat mesylate,1
nad+,1
nasopharyngeal (np) swab,1
nasopharyngeal and throat swab,1
nasopharyngeal and throat/oropharyngeal swabs analyses by rt-pcr and ddpcr,1
nasopharyngeal covid 19 rt-pcr,1
nbp2001 adjuvanted with alum (rbd 30μg/dose),1
nbi images and/or videos,1
navigation services,1
nature+mindfulness,1
nature only,1
natural killer cells infusion,1
natural honey,1
nasovax,1
"nasopharyngeal, oropharyngeal, or saliva swab",1
nasopharyngeal swabbing procedure (self swabbing first),1
nasopharyngeal swabbing procedure (conventionnal swabbing first),1
nasopharyngeal swab for covid-19 testing,1
nasopharyngeal swab and main laboratory,1
nasopharyngeal sampling,1
nasopharyngeal samples,1
nhanes smell and taste tests,1
niclosamide + camostat,1
physical activity program,1
no intervention-mechanistic study,1
no interverntion,1
no interventions planned,1
"no interventions performed. just collecting data, blood samples and post-mortem biopsies.",1
no interventional study,1
no intervention; observational study,1
no intervention. observational cohort study,1
no intervention. method study. psychometric testing,1
