NCTId,StudyFirstSubmitDate,StartDate,StartDateType,InterventionType,InterventionName,InterventionOtherNameList
NCT04374838,"May 1, 2020","May 15, 2020",Actual,,,
NCT04547257,"April 29, 2020","February 1, 2021",Anticipated,Device,Seraph 100,
NCT04460274,"July 3, 2020","December 31, 2019",Actual,Other,Model Building,
NCT04460274,"July 3, 2020","December 31, 2019",Actual,Other,Model validation,
NCT04343183,"April 7, 2020",April 2020,Anticipated,Device,Hyperbaric Oxygen Therapy,
NCT04738175,"February 2, 2021",April 2021,Anticipated,Biological,COVI-AMG,STI-2020
NCT04738175,"February 2, 2021",April 2021,Anticipated,Drug,Placebo,
NCT04374513,"May 2, 2020","April 2, 2020",Actual,,,
NCT04771351,"February 23, 2021",April 2021,Anticipated,Biological,COVI-AMG,STI-2020
NCT04771351,"February 23, 2021",April 2021,Anticipated,Drug,Placebo,
NCT04454307,"June 29, 2020",July 2020,Anticipated,Drug,Tramadol,tramal
NCT04454307,"June 29, 2020",July 2020,Anticipated,Other,Standard care delivered in the isolation hospitals.,nasal oxygen
NCT04906694,"May 26, 2021",August 2021,Anticipated,Biological,COVI-DROPS,STI-2099
NCT04906694,"May 26, 2021",August 2021,Anticipated,Drug,Placebo,
NCT04452435,"June 29, 2020","July 21, 2020",Actual,Drug,C21,
NCT04452435,"June 29, 2020","July 21, 2020",Actual,Drug,Placebo,
NCT04734860,"January 29, 2021",April 2021,Anticipated,Biological,COVI-AMG,STI-2020
NCT04734860,"January 29, 2021",April 2021,Anticipated,Drug,Placebo,
NCT04333550,"April 1, 2020",April 2020,Anticipated,Drug,Deferoxamine,
NCT04412382,"May 26, 2020","June 1, 2020",Actual,Diagnostic Test,NETosis markers,
NCT04900428,"May 20, 2021",July 2021,Anticipated,Biological,COVI-DROPS,STI-2099
NCT04900428,"May 20, 2021",July 2021,Anticipated,Drug,Placebo,
NCT04432987,"June 15, 2020","May 25, 2020",Actual,Drug,Pulmozyme,
NCT04528667,"August 20, 2020","January 6, 2021",Actual,Drug,STI-5656,abivertinib maleate|avitinib|AC0010|abivertinib
NCT04528667,"August 20, 2020","January 6, 2021",Actual,Drug,Placebo,
NCT04584697,"October 7, 2020",December 2020,Anticipated,Biological,COVI-AMG,STI-2020
NCT04584697,"October 7, 2020",December 2020,Anticipated,Drug,Placebo,
NCT04483622,"July 21, 2020","June 12, 2020",Actual,,,
NCT04628143,"November 10, 2020","November 20, 2020",Anticipated,Drug,Nafamostat Mesilate,CKD-314
NCT04336904,"April 3, 2020","March 25, 2020",Actual,Drug,Favipiravir,
NCT04336904,"April 3, 2020","March 25, 2020",Actual,Other,Placebo,
NCT04768179,"February 14, 2021","February 19, 2021",Anticipated,Drug,3-dayIVM 200 mcg/kg/day/14-day 75mgASA/day + standard of care (intervention 1),3-dayIVM 600 mcg/kg/day/14-day 75mgASA/day + standard of care (intervention 2)
NCT04427254,"May 26, 2020","June 26, 2020",Actual,Drug,"Cerebrospinal fluid sampling, meningeal and brain parenchyma biopsies",
NCT04359095,"April 15, 2020","August 18, 2020",Actual,Drug,Emtricitabine/tenofovir,Truvada ®
NCT04359095,"April 15, 2020","August 18, 2020",Actual,Drug,Colchicine Pill,
NCT04359095,"April 15, 2020","August 18, 2020",Actual,Drug,Rosuvastatin,Crestor ® Rosuvas ®
NCT04359095,"April 15, 2020","August 18, 2020",Actual,Other,Standard treatment,
NCT04853069,"April 6, 2021","May 17, 2021",Anticipated,Drug,Transdermal estradiol gel,oestrogel|estrogel
NCT04794998,"March 10, 2021","February 8, 2021",Actual,Drug,Recommended treatment schedule,
NCT04794998,"March 10, 2021","February 8, 2021",Actual,Drug,Control treatment schedule,
NCT04568031,"August 21, 2020","August 23, 2020",Actual,Drug,AZD1222,
NCT04568031,"August 21, 2020","August 23, 2020",Actual,Drug,0.9% (w/v) saline,
NCT04747769,"February 1, 2021",February 2021,Anticipated,,,
NCT04445272,"June 13, 2020","May 22, 2020",Actual,Drug,Tocilizumab,
NCT04466644,"July 9, 2020","June 8, 2020",Actual,Diagnostic Test,ELISA,
NCT04466644,"July 9, 2020","June 8, 2020",Actual,Diagnostic Test,RT-PCR,
NCT04354831,"April 14, 2020","May 11, 2020",Actual,Biological,anti-SARS-CoV-2 convalescent plasma,
NCT04869228,"April 29, 2021","June 1, 2021",Anticipated,Drug,GT0918 tablets or placebo,
NCT04540393,"August 26, 2020","September 2, 2020",Actual,Biological,AZD1222,
NCT04523831,"August 19, 2020","June 1, 2020",Actual,Drug,Ivermectin and Doxycycline,Imac and Doxibac
NCT04523831,"August 19, 2020","June 1, 2020",Actual,Drug,Standard of care,
NCT04883138,"May 4, 2021","May 24, 2021",Actual,Drug,GIGA-2050,
NCT04582266,"October 8, 2020","February 12, 2021",Actual,Drug,Remdesivir,
NCT04799834,"March 11, 2021","November 30, 2020",Actual,Other,"Questionnaire administration,blood sampling and genetic analyses.",
NCT04445285,"June 22, 2020","April 28, 2020",Actual,Drug,Pulmozyme/ Recombinant human deoxyribonuclease (rh-DNase),
NCT04445285,"June 22, 2020","April 28, 2020",Actual,Drug,0.9%sodium chloride,
NCT04351802,"April 16, 2020","May 11, 2020",Actual,Diagnostic Test,Lung ultrasound,
NCT04657419,"December 7, 2020","March 8, 2021",Actual,Other,survey,
NCT04345445,"April 8, 2020","April 15, 2020",Anticipated,Drug,Tocilizumab,
NCT04345445,"April 8, 2020","April 15, 2020",Anticipated,Drug,Methylprednisolone,
NCT04845048,"April 12, 2021",April 2021,Anticipated,Biological,Adsorbed COVID-19 (Inactivated) Vaccine,
NCT04723394,"January 14, 2021","January 28, 2021",Actual,Drug,AZD7442,Combination of 2 mAbs (AZD8895 and AZD1061)
NCT04723394,"January 14, 2021","January 28, 2021",Actual,Drug,Placebo,
NCT04663737,"December 1, 2020","December 3, 2020",Actual,Drug,Silmitasertib,CX-4945
NCT04663737,"December 1, 2020","December 3, 2020",Actual,Drug,SOC,SOC/ Best Supportive Care
NCT04803227,"February 12, 2021","March 11, 2021",Actual,Drug,Emricasan,
NCT04803227,"February 12, 2021","March 11, 2021",Actual,Other,Placebo,
NCT04401241,"May 18, 2020","February 1, 2020",Actual,,,
NCT04476888,"July 16, 2020","April 26, 2020",Actual,Biological,Convalescent Plasma (CP),
NCT04476888,"July 16, 2020","April 26, 2020",Actual,Other,Drugs and supportive care,
NCT04366739,"April 24, 2020","April 29, 2020",Anticipated,Drug,CHLORPROMAZINE (CPZ),
NCT04366739,"April 24, 2020","April 29, 2020",Anticipated,Combination Product,Standard of Care (SOC),
NCT04366960,"April 24, 2020","May 14, 2020",Actual,Drug,Enoxaparin,
NCT04914364,"June 2, 2021","July 1, 2021",Anticipated,Other,Balance assessments,
NCT04508712,"August 8, 2020","August 10, 2020",Actual,,,
NCT04718480,"January 18, 2021","November 27, 2020",Actual,Drug,Placebo,
NCT04718480,"January 18, 2021","November 27, 2020",Actual,Drug,Fluvoxamine,
NCT04803370,"March 9, 2021","July 8, 2020",Actual,Other,Convalescent Plasma with antibody against SARS-CoV-2.,
NCT04803370,"March 9, 2021","July 8, 2020",Actual,Other,Standard treatment for COVID-19,
NCT04469647,"July 13, 2020","July 19, 2020",Anticipated,Diagnostic Test,Serology Test,
NCT04736732,"February 1, 2021","January 1, 2021",Actual,Other,Medical follow-up,
NCT04361422,"April 21, 2020","December 1, 2020",Anticipated,Drug,Isotretinoin Only Product in Oral Dose Form,standard COVID-19 therapy
NCT04531748,"August 27, 2020",December 2021,Anticipated,Drug,Toremifene,
NCT04531748,"August 27, 2020",December 2021,Anticipated,Drug,Melatonin,
NCT04531748,"August 27, 2020",December 2021,Anticipated,Other,Placebo,
NCT04460547,"July 3, 2020","July 25, 2020",Anticipated,Drug,Convalescent Plasma Transfusion,
NCT04460547,"July 3, 2020","July 25, 2020",Anticipated,Drug,Hydroxychloroquine,
NCT04460547,"July 3, 2020","July 25, 2020",Anticipated,Drug,DAS181,
NCT04460547,"July 3, 2020","July 25, 2020",Anticipated,Drug,Ivermectin,
NCT04460547,"July 3, 2020","July 25, 2020",Anticipated,Drug,Interferon Beta-1A,
NCT04527562,"August 25, 2020","July 14, 2020",Actual,Drug,Colchicine,
NCT04527562,"August 25, 2020","July 14, 2020",Actual,Drug,Placebo,
NCT04355741,"April 15, 2020","April 20, 2020",Actual,Other,Exposure,
NCT04328272,"March 25, 2020","March 28, 2020",Anticipated,Drug,Hydroxychloroquine 200 Mg Oral Tablet,Plaquenil
NCT04328272,"March 25, 2020","March 28, 2020",Anticipated,Drug,Azithromycin 500Mg Oral Tablet,Zetro
NCT04328272,"March 25, 2020","March 28, 2020",Anticipated,Dietary Supplement,Glucose tablets,Canderel
NCT04388683,"May 13, 2020","May 12, 2020",Actual,Drug,Nitric Oxide,
NCT04849637,"March 19, 2021","October 22, 2020",Actual,Drug,Virgin Coconut Oil,VCO
NCT04615208,"November 2, 2020","December 19, 2020",Actual,Diagnostic Test,suspected of COVID-19 infection,
NCT04625972,"November 10, 2020","December 2, 2020",Actual,Drug,AZD7442,A combination of 2 mAbs (AZD8895 and AZD1061)
NCT04625972,"November 10, 2020","December 2, 2020",Actual,Drug,Placebo,
NCT04920942,"May 31, 2021","June 1, 2021",Anticipated,Drug,Ivermectin 0.4mg/kg/day for 5 days,
NCT04461340,"July 4, 2020","August 15, 2020",Actual,Drug,Sirolimus,Rapamune
NCT04377763,"May 5, 2020","July 15, 2020",Actual,,,
NCT04345679,"April 11, 2020","April 14, 2020",Actual,Biological,anti-SARS-CoV-2 convalescent plasma,
NCT04680819,"December 19, 2020","December 25, 2020",Anticipated,Dietary Supplement,Anatolian Propolis,
NCT04490174,"July 28, 2020","January 8, 2020",Actual,,,
NCT04578158,"October 6, 2020","September 29, 2020",Actual,Drug,Standard COVID-19 care,
NCT04578158,"October 6, 2020","September 29, 2020",Actual,Dietary Supplement,Quercetin Phytosome,
NCT04586413,"October 7, 2020","October 7, 2020",Actual,Other,No intervention - quality of life measure,
NCT04421534,"June 5, 2020",June 2020,Anticipated,Drug,Lactoferrin,Standard of care treatment regimens
NCT04537559,"August 27, 2020","March 1, 2020",Actual,,,
NCT04542421,"September 4, 2020","July 1, 2020",Actual,Diagnostic Test,Lung ultrasound use in patients hospitalized with COVID,
NCT04577534,"September 3, 2020","August 14, 2020",Actual,Drug,iv Tocillizumab (TCZ),
NCT04816084,"March 19, 2021","November 5, 2020",Actual,Diagnostic Test,Anti-SARS-CoV2 Serology,other : questionnaire
NCT04610554,"October 29, 2020","May 14, 2020",Actual,,,
NCT04501796,"July 27, 2020","November 27, 2020",Actual,Drug,Double-Blind NT-I7,rhIL-7-hyFc|efineptakin alfa
NCT04501796,"July 27, 2020","November 27, 2020",Actual,Drug,Double-Blind Placebo,
NCT04639440,"October 28, 2020","November 23, 2020",Anticipated,Other,Adipose tissue,
NCT04428801,"April 8, 2020","June 1, 2021",Anticipated,Biological,autologous adipose-derived stem cells,Celltex-AdMSCs
NCT04485130,"July 22, 2020","May 1, 2021",Actual,Drug,Disulfiram,Antabuse
NCT04485130,"July 22, 2020","May 1, 2021",Actual,Drug,Placebo,
NCT04628039,"November 9, 2020","May 28, 2021",Actual,Other,Rehabilitation-focused program,
NCT04321421,"March 23, 2020","March 17, 2020",Actual,Other,hyperimmune plasma,
NCT04370288,"April 29, 2020","April 19, 2020",Actual,Drug,"MCN (Methylene blue, vitamin C, N-acetyl cysteine)",Leucomethylene Blue
NCT04347915,"April 14, 2020","May 6, 2020",Actual,Drug,Clevudine,
NCT04347915,"April 14, 2020","May 6, 2020",Actual,Drug,Placebo,
NCT04431908,"June 12, 2020","June 15, 2020",Actual,Device,olfactory device,
NCT04646031,"November 24, 2020",,,Drug,T89 capsule,Dantonic
NCT04537338,"August 27, 2020","September 14, 2020",Anticipated,Genetic,1. Characterize the immune response after infection with SARS-CoV-2,
NCT04572412,"September 29, 2020","November 25, 2020",Actual,Radiation,Low dose Radiotherapy,
NCT04333407,"April 1, 2020","April 3, 2020",Actual,Drug,Aspirin 75mg,
NCT04333407,"April 1, 2020","April 3, 2020",Actual,Drug,Clopidogrel 75mg,
NCT04333407,"April 1, 2020","April 3, 2020",Actual,Drug,Rivaroxaban 2.5 MG,
NCT04333407,"April 1, 2020","April 3, 2020",Actual,Drug,Atorvastatin 40mg,
NCT04333407,"April 1, 2020","April 3, 2020",Actual,Drug,Omeprazole 20mg,
NCT04854486,"April 17, 2021","November 16, 2020",Actual,Drug,GSE and Xylitol,Xlear
NCT04914377,"June 2, 2021",June 2021,Anticipated,Drug,Black Seed Oil Cap/Tab,TQ Formula
NCT04625725,"November 10, 2020","November 21, 2020",Actual,Drug,AZD7442,Combination of 2mAbs(AZD8895and AZD1061)
NCT04625725,"November 10, 2020","November 21, 2020",Actual,Drug,Placebo,
NCT04377685,"May 5, 2020","March 1, 2020",Actual,Other,CT-Scan,
NCT04858633,"March 22, 2021","March 22, 2021",Actual,Drug,Hydroxychloroquine (HCQ),
NCT04858633,"March 22, 2021","March 22, 2021",Actual,Other,Standard care,
NCT04858633,"March 22, 2021","March 22, 2021",Actual,Other,Placebo,
NCT04470622,"July 13, 2020","July 20, 2020",Actual,Drug,Aprepitant injectable emulsion,
NCT04470622,"July 13, 2020","July 20, 2020",Actual,Drug,Saline Placebo,
NCT04473690,"July 14, 2020","December 30, 2020",Actual,Biological,Low Dose of KBP-COVID-19,
NCT04473690,"July 14, 2020","December 30, 2020",Actual,Biological,High Dose of KBP-COVID-19,
NCT04473690,"July 14, 2020","December 30, 2020",Actual,Biological,Placebo,
NCT04523090,"August 20, 2020","August 27, 2020",Actual,Drug,Nitazoxanide,
NCT04523090,"August 20, 2020","August 27, 2020",Actual,Drug,Placebo,
NCT04747821,"February 5, 2021","February 7, 2021",Actual,Biological,Adsorbed COVID-19 (Inactivated) Vaccine,CoronaVac
NCT04331509,"March 31, 2020","March 23, 2020",Actual,Other,No Intervention,
NCT04412486,"May 28, 2020","June 1, 2020",Actual,Biological,COVID Convalescent Plasma,"CCP, COVID-19 Convalescent Plasma"
NCT04452669,"June 29, 2020","September 15, 2020",Actual,Drug,VentaProst (inhaled epoprostenol delivered via a dedicated delivery system),inhaled Flolan
NCT04742569,"January 14, 2021","December 21, 2020",Actual,,,
NCT04406389,"May 26, 2020","October 13, 2020",Actual,Drug,Enoxaparin sodium,Lovenox
NCT04406389,"May 26, 2020","October 13, 2020",Actual,Drug,Unfractionated heparin,Sodium heparin
NCT04406389,"May 26, 2020","October 13, 2020",Actual,Drug,Fondapariniux,Arixtra
NCT04406389,"May 26, 2020","October 13, 2020",Actual,Drug,Argatroban,
NCT04551781,"September 13, 2020","April 1, 2020",Actual,Drug,20 Mg Prednisone for 14 days,steroid
NCT04551781,"September 13, 2020","April 1, 2020",Actual,Drug,control,symptomatic ttt
NCT04291053,"February 27, 2020","April 1, 2020",Anticipated,Drug,Huaier Granule,
NCT04342637,"April 7, 2020","April 10, 2020",Actual,Other,Practice details,
NCT04587323,"September 22, 2020","May 22, 2020",Actual,,,
NCT04567173,"September 24, 2020","September 21, 2020",Actual,Drug,Anti-SARS-CoV-2 convalescent plasma,
NCT04673162,"December 16, 2020",December 2020,Anticipated,Drug,"Methylprednisolone, Placebo",Standard treatment
NCT04365725,"April 25, 2020","May 5, 2020",Actual,Drug,Remdesivir,
NCT04742946,"February 3, 2021","February 15, 2021",Anticipated,Other,Standard Physiotherapy program,Physiotherapy
NCT04742946,"February 3, 2021","February 15, 2021",Anticipated,Other,Telerehabilitation,"Telemedicine, ehealth"
NCT04627519,"November 10, 2020","December 9, 2020",Actual,Dietary Supplement,Rhea Health Tone®,
NCT04889040,"May 10, 2021","April 28, 2021",Actual,Drug,RO7496998,AT-527
NCT04889040,"May 10, 2021","April 28, 2021",Actual,Drug,Placebo,
NCT04386668,"May 12, 2020","May 26, 2020",Actual,Other,Let It Out (LIO)-C,expressive writing|emotional disclosure|expressive disclosure|therapeutic writing
NCT04386668,"May 12, 2020","May 26, 2020",Actual,Other,Neutral writing control,
NCT04539626,"September 3, 2020","October 1, 2020",Actual,Drug,Estrogen Therapy,Norelgesetromin|Ethinyl estradiol
NCT04706390,"January 11, 2021","January 12, 2021",Actual,Biological,covid-19 vaccine,
NCT04918875,"May 31, 2021","June 30, 2021",Anticipated,,,
NCT04527081,"August 24, 2020","August 31, 2020",Actual,Biological,AG0302-COVID19,
NCT04527081,"August 24, 2020","August 31, 2020",Actual,Biological,AG0302-COVID19,
NCT04527081,"August 24, 2020","August 31, 2020",Actual,Biological,AG0302-COVID19,
NCT04842435,"April 12, 2021","April 12, 2021",Actual,Drug,COVID-globulin,Anti-coronavirus human immunoglobulin
NCT04842435,"April 12, 2021","April 12, 2021",Actual,Drug,Placebo,0.9% NaCl solution
NCT04463472,"July 8, 2020","June 29, 2020",Actual,Biological,AG0301-COVID19,
NCT04463472,"July 8, 2020","June 29, 2020",Actual,Biological,AG0301-COVID19,
NCT04497610,"August 2, 2020","August 4, 2020",Anticipated,Diagnostic Test,Breath sample,
NCT04716907,"January 16, 2021","March 19, 2021",Actual,Genetic,Single-Nucleotide Polymorphisms (SNP) within the TCRA/D region,
NCT04716907,"January 16, 2021","March 19, 2021",Actual,Biological,Blood sample,
NCT04716907,"January 16, 2021","March 19, 2021",Actual,Diagnostic Test,CT Scan,
NCT04716907,"January 16, 2021","March 19, 2021",Actual,Biological,Bronchial fibroscopy,
NCT04347993,"April 13, 2020","March 27, 2020",Actual,,,
NCT04854928,"April 21, 2021",April 2021,Anticipated,Drug,"LTX-109 gel, 3%",
NCT04854928,"April 21, 2021",April 2021,Anticipated,Drug,Placebo gel,
NCT04780672,"February 25, 2021","March 9, 2021",Actual,Drug,Molixan,Inosine glycyl-cysteinyl-glutamate disodium
NCT04780672,"February 25, 2021","March 9, 2021",Actual,Drug,Placebo,Sodium chloride
NCT04513158,"August 6, 2020","August 14, 2020",Actual,Biological,Convalescent Plasma,
NCT04345991,"April 10, 2020","April 15, 2020",Actual,Drug,Transfusion of COVID-19 convalescent plasma,
NCT04534673,"April 20, 2020","August 5, 2020",Actual,Drug,Lambda 180 mcg S.C,Lambda
NCT04472572,"July 14, 2020",,,Biological,Convalescent Plasma,
NCT04753242,"February 11, 2021","December 8, 2020",Actual,Other,Online survey questionnaire,
NCT04530474,"August 26, 2020","April 1, 2021",Actual,Drug,Ivermectin Pill,
NCT04530474,"August 26, 2020","April 1, 2021",Actual,Drug,Placebo,
NCT04355871,"April 19, 2020","March 18, 2020",Actual,,,
NCT04884490,"May 5, 2021","May 15, 2021",Anticipated,Drug,Co-trimoxazole,
NCT04884490,"May 5, 2021","May 15, 2021",Anticipated,Drug,Placebo,
NCT04653857,"December 3, 2020","April 1, 2020",Actual,,,
NCT04898062,"May 20, 2021","May 5, 2021",Actual,Device,CRP-apheresis,CRP-depletion
NCT04822402,"March 27, 2021",May 2021,Anticipated,,,
NCT04766931,"February 4, 2021","March 27, 2021",Actual,Drug,FB2001,
NCT04766931,"February 4, 2021","March 27, 2021",Actual,Drug,FB2001 Placebo,
NCT04590586,"October 14, 2020","November 24, 2020",Actual,Drug,Standard of care,
NCT04590586,"October 14, 2020","November 24, 2020",Actual,Drug,Apremilast,
NCT04590586,"October 14, 2020","November 24, 2020",Actual,Drug,Apremilast placebo,
NCT04590586,"October 14, 2020","November 24, 2020",Actual,Drug,Lanadelumab,
NCT04590586,"October 14, 2020","November 24, 2020",Actual,Drug,Lanadelumab placebo,
NCT04590586,"October 14, 2020","November 24, 2020",Actual,Drug,Zilucoplan,
NCT04590586,"October 14, 2020","November 24, 2020",Actual,Drug,Zilucoplan placebo,
NCT04336462,"March 25, 2020","February 15, 2020",Actual,Device,oxyhydrogen,"Hydrogen/oxygen mixed gas inhaled(proportion 2:1),3 L/min . 6 hour a day."
NCT04336462,"March 25, 2020","February 15, 2020",Actual,Device,Oxygen,
NCT04836351,"March 29, 2021","March 1, 2021",Actual,Other,Concentrated rehabilitation for patients with persistent symptoms post COVID-19,
NCT04474483,"May 15, 2020","November 6, 2020",Actual,Drug,Melatonin,5-methoxy-N-acetyl tryptamine
NCT04474483,"May 15, 2020","November 6, 2020",Actual,Other,Placebo (Methylcellulose) capsule,Methylcellulose
NCT04552366,"September 15, 2020","September 29, 2020",Actual,Biological,Ad5-nCoV,
NCT04426344,"June 3, 2020",October 2020,Anticipated,Device,ensoETM device,
NCT04389658,"May 14, 2020","May 7, 2020",Actual,,,
NCT04434248,"June 13, 2020","April 23, 2020",Actual,Drug,Favipiravir,Avifavir
NCT04434248,"June 13, 2020","April 23, 2020",Actual,Drug,Standard of Care,"Hydroxychloroquine, chloroquine, lopinavir/ritonavir, etc."
NCT04393038,"May 18, 2020","May 1, 2020",Actual,Drug,ABX464,
NCT04393038,"May 18, 2020","May 1, 2020",Actual,Drug,Placebo,
NCT04730323,"January 26, 2021","May 12, 2020",Actual,Drug,Tocilizumab,Experimental
NCT04909892,"May 29, 2021",August 2021,Anticipated,Biological,COVI-MSC,
NCT04928430,"May 27, 2021","April 28, 2021",Actual,Drug,XAV-19,
NCT04928430,"May 27, 2021","April 28, 2021",Actual,Drug,Placebo,
NCT04785898,"March 1, 2021","November 9, 2020",Actual,Diagnostic Test,ID Now™ COVID-19 Screening Test,
NCT04655625,"November 26, 2020","November 23, 2020",Actual,Biological,Group A (AG0302-COVID19),
NCT04655625,"November 26, 2020","November 23, 2020",Actual,Biological,Group A (Placebo),
NCT04655625,"November 26, 2020","November 23, 2020",Actual,Biological,Group B (AG0302-COVID19),
NCT04655625,"November 26, 2020","November 23, 2020",Actual,Biological,Group B (Placebo),
NCT04649879,"December 1, 2020","December 3, 2020",Anticipated,Biological,SARS-CoV-2 convalescent plasma,
NCT04649879,"December 1, 2020","December 3, 2020",Anticipated,Other,Standard of care,
NCT04368390,"April 28, 2020","April 3, 2020",Actual,,,
NCT04821674,"March 25, 2021","March 15, 2021",Actual,Biological,DS-5670a,
NCT04821674,"March 25, 2021","March 15, 2021",Actual,Biological,Placebo,
NCT04619706,"November 5, 2020","December 14, 2020",Actual,Drug,FSD201,ultramicronized palmitoylethanolamide (PEA)
NCT04619706,"November 5, 2020","December 14, 2020",Actual,Drug,Placebo,
NCT04757857,"February 8, 2021","September 29, 2020",Actual,Drug,Rivaroxaban 10 mg,Xarelto
NCT04614012,"November 2, 2020","July 2, 2020",Actual,Other,treated with hyperimmune plasma,hyperimmune plasma
NCT04770467,"February 22, 2021",February 2021,Anticipated,Drug,BRII-196 and BRII-198,
NCT04770467,"February 22, 2021",February 2021,Anticipated,Drug,Placebo,
NCT04363346,"April 23, 2020","May 14, 2020",Actual,Drug,FT516,
NCT04372979,"April 24, 2020","September 14, 2020",Actual,Drug,Transfusion of SARS-CoV-2 Convalescent Plasma.,
NCT04372979,"April 24, 2020","September 14, 2020",Actual,Drug,Transfusion of standard Plasma.,
NCT04404179,"May 24, 2020","March 27, 2020",Actual,Other,COVID-19 FACILITY,
NCT04456413,"June 30, 2020","November 6, 2020",Actual,Biological,Convalescent Plasma,
NCT04456413,"June 30, 2020","November 6, 2020",Actual,Other,Best Supportive Care,
NCT04466657,"July 9, 2020","November 1, 2020",Anticipated,Dietary Supplement,Antioxidation Therapy,
NCT04466657,"July 9, 2020","November 1, 2020",Anticipated,Other,Standard of Care,
NCT04790786,"February 26, 2021","March 10, 2021",Actual,Biological,Lilly Bamlanivimab,
NCT04790786,"February 26, 2021","March 10, 2021",Actual,Biological,Regeneron Casirivimab + Imdevimab,
NCT04790786,"February 26, 2021","March 10, 2021",Actual,Biological,Lilly Bamlanivimab + Etesevimab,
NCT04438239,"June 10, 2020","June 22, 2020",Actual,Other,"none, this study is observational",
NCT04874792,"May 3, 2021","July 1, 2020",Actual,,,
NCT04514302,"August 12, 2020","October 20, 2020",Anticipated,Drug,Placebo,Control
NCT04514302,"August 12, 2020","October 20, 2020",Anticipated,Drug,Anti-SARS-CoV-2 equine immunoglobulin fragments (INOSARS),INOSARS
NCT04487119,"July 24, 2020","August 12, 2020",Actual,,,
NCT04703777,"January 8, 2021","April 4, 2020",Actual,,,
NCT04883203,"April 20, 2021","April 22, 2020",Actual,Drug,Vit-D 0.2 MG/ML Oral Solution [Calcidol],
NCT04883203,"April 20, 2021","April 22, 2020",Actual,Drug,Physiological Irrigating Solution,
NCT04479358,"July 13, 2020","September 10, 2020",Actual,Drug,Tocilizumab,Tocilizumab 40mg
NCT04479358,"July 13, 2020","September 10, 2020",Actual,Drug,Tocilizumab,Tocilizumab 120mg
NCT04479358,"July 13, 2020","September 10, 2020",Actual,Other,Standard of Care,
NCT04479358,"July 13, 2020","September 10, 2020",Actual,Other,Standard of Care,
NCT04590794,"October 14, 2020","October 11, 2020",Actual,Diagnostic Test,Soluble Urokinase Plasminogen Activator Receptor,suPAR
NCT04712279,"January 13, 2021","January 25, 2021",Anticipated,Drug,Ivermectin 0.6mg/kg/day,
NCT04712279,"January 13, 2021","January 25, 2021",Anticipated,Drug,Ivermectin 1.0mg/kg/day,
NCT04712279,"January 13, 2021","January 25, 2021",Anticipated,Drug,Placebo,
NCT04712279,"January 13, 2021","January 25, 2021",Anticipated,Drug,Hydroxychloroquine,
NCT04342689,"April 8, 2020","June 3, 2020",Actual,Drug,Dietary Supplement containing resistant starch,Resistant Starch
NCT04342689,"April 8, 2020","June 3, 2020",Actual,Dietary Supplement,Placebo Starch,Non Resistant Starch
